epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,12136.3,0.7326,0.54774,1.10062,0.94985,0.88248,0.95523,0.81531,0.59385,0.40628,0.97466,0.007228,0.007228,0.007228
44,12403.4,0.7191,0.53227,1.09328,0.95057,0.90466,0.95691,0.82341,0.58956,0.38235,0.96178,0.007162,0.007162,0.007162
45,12672.6,0.71111,0.52842,1.0846,0.91272,0.90428,0.94593,0.81531,0.59772,0.41497,0.97066,0.007096,0.007096,0.007096
46,12944.3,0.71091,0.52959,1.08522,0.94157,0.8933,0.94882,0.81163,0.60046,0.41837,0.97499,0.00703,0.00703,0.00703
47,13218.6,0.70327,0.52206,1.07747,0.95351,0.89357,0.95086,0.82141,0.58602,0.39588,0.9658,0.006964,0.006964,0.006964
48,13490.3,0.70882,0.52036,1.08617,0.94922,0.90466,0.95254,0.80769,0.61211,0.39564,0.97665,0.006898,0.006898,0.006898
49,13758.6,0.70319,0.5178,1.08196,0.95256,0.89579,0.95603,0.81812,0.59149,0.38637,0.96411,0.006832,0.006832,0.006832
50,14025.8,0.69794,0.51932,1.0838,0.94584,0.88692,0.94909,0.81772,0.59577,0.39299,0.96796,0.006766,0.006766,0.006766
51,14296.5,0.69466,0.51735,1.07682,0.9636,0.87361,0.94864,0.81977,0.59385,0.40361,0.96658,0.0067,0.0067,0.0067
52,14569.1,0.69506,0.50735,1.07573,0.9414,0.89056,0.95183,0.82964,0.56802,0.38513,0.95264,0.006634,0.006634,0.006634
53,14843.9,0.68636,0.50307,1.07012,0.96653,0.88248,0.95034,0.8189,0.5917,0.39239,0.96957,0.006568,0.006568,0.006568
54,15115.1,0.6924,0.49894,1.06937,0.94825,0.8847,0.94525,0.81992,0.58933,0.41678,0.95923,0.006502,0.006502,0.006502
55,15383.4,0.68249,0.50166,1.06949,0.95038,0.88692,0.95057,0.82475,0.57059,0.40193,0.95595,0.006436,0.006436,0.006436
56,15653.2,0.68305,0.49977,1.06658,0.93408,0.90687,0.94849,0.82486,0.57016,0.39292,0.95194,0.00637,0.00637,0.00637
57,15925.4,0.68251,0.49849,1.06761,0.92811,0.92018,0.95531,0.82804,0.55695,0.38717,0.95246,0.006304,0.006304,0.006304
58,16197.6,0.66985,0.48576,1.06055,0.95994,0.89579,0.95328,0.82708,0.55374,0.3736,0.94895,0.006238,0.006238,0.006238
59,16465.9,0.67408,0.48858,1.06378,0.95994,0.89579,0.9527,0.82463,0.57302,0.3787,0.96259,0.006172,0.006172,0.006172
60,16733,0.6756,0.48713,1.06102,0.9753,0.87568,0.95907,0.83597,0.55116,0.36385,0.94348,0.006106,0.006106,0.006106
61,17003.1,0.66434,0.48193,1.05848,0.95545,0.90358,0.95978,0.83336,0.55802,0.35745,0.94814,0.00604,0.00604,0.00604
62,17275.9,0.66558,0.48339,1.06037,0.96383,0.88914,0.96055,0.83308,0.55721,0.36985,0.94891,0.005974,0.005974,0.005974
63,17550.9,0.66128,0.47238,1.05743,0.94809,0.90909,0.95699,0.82885,0.55261,0.37136,0.94963,0.005908,0.005908,0.005908
64,17824.5,0.65673,0.47327,1.05602,0.95442,0.90244,0.9574,0.83878,0.53856,0.36406,0.94024,0.005842,0.005842,0.005842
65,18093.6,0.65721,0.47448,1.0551,0.93889,0.91975,0.95759,0.83781,0.54304,0.36344,0.9385,0.005776,0.005776,0.005776
66,18361.1,0.64947,0.46712,1.05182,0.96001,0.90491,0.95926,0.84163,0.53975,0.36273,0.935,0.00571,0.00571,0.00571
67,18630.8,0.64497,0.46407,1.04944,0.95593,0.91574,0.95939,0.8462,0.54077,0.35501,0.93971,0.005644,0.005644,0.005644
68,18903.3,0.64701,0.46519,1.04882,0.959,0.898,0.95826,0.83847,0.55131,0.35484,0.9456,0.005578,0.005578,0.005578
69,19177.5,0.64289,0.45668,1.04891,0.96491,0.88914,0.95704,0.8412,0.55245,0.36013,0.94302,0.005512,0.005512,0.005512
70,19452,0.65032,0.45965,1.04988,0.94921,0.91165,0.95609,0.83777,0.56299,0.36583,0.94852,0.005446,0.005446,0.005446
71,19721.9,0.64671,0.45851,1.04933,0.95881,0.90466,0.95691,0.83617,0.56317,0.36461,0.94962,0.00538,0.00538,0.00538
72,19989.2,0.642,0.45923,1.04667,0.95337,0.90675,0.954,0.83292,0.56018,0.36691,0.94901,0.005314,0.005314,0.005314
73,20258.3,0.63106,0.44697,1.04031,0.93835,0.91796,0.95491,0.83163,0.56437,0.3765,0.94913,0.005248,0.005248,0.005248
74,20530.4,0.6322,0.44864,1.03833,0.95578,0.91048,0.95337,0.8312,0.56717,0.38209,0.9538,0.005182,0.005182,0.005182
75,20805.1,0.6286,0.44457,1.04045,0.96962,0.88027,0.95303,0.83129,0.56562,0.38357,0.95433,0.005116,0.005116,0.005116
76,21078.5,0.62517,0.44598,1.0352,0.95966,0.89668,0.95411,0.83383,0.56518,0.37356,0.95266,0.00505,0.00505,0.00505
77,21347.9,0.62427,0.4464,1.03735,0.9598,0.89988,0.95647,0.83592,0.55955,0.37171,0.94873,0.004984,0.004984,0.004984
78,21615.4,0.62772,0.44786,1.03411,0.95067,0.91574,0.95892,0.83482,0.56119,0.36881,0.94896,0.004918,0.004918,0.004918
79,21885.4,0.61891,0.4391,1.03349,0.95658,0.90909,0.95749,0.83848,0.55466,0.3671,0.94376,0.004852,0.004852,0.004852
80,22158,0.62222,0.43617,1.03524,0.9573,0.90244,0.95873,0.84019,0.55241,0.37169,0.94272,0.004786,0.004786,0.004786
81,22432.7,0.61838,0.43682,1.03588,0.96722,0.89357,0.95866,0.83959,0.55278,0.36762,0.94182,0.00472,0.00472,0.00472
82,22706.6,0.61798,0.43048,1.03019,0.95968,0.89711,0.95795,0.84063,0.55246,0.36941,0.94207,0.004654,0.004654,0.004654
83,22975.9,0.60838,0.42677,1.02694,0.97554,0.88433,0.96068,0.83976,0.55182,0.36967,0.94453,0.004588,0.004588,0.004588
84,23243.7,0.61163,0.43235,1.02697,0.96365,0.90244,0.96084,0.84397,0.54763,0.368,0.94073,0.004522,0.004522,0.004522
85,23514,0.60654,0.4246,1.02662,0.96191,0.89588,0.96189,0.8435,0.54716,0.36546,0.93841,0.004456,0.004456,0.004456
86,23785.8,0.60582,0.4217,1.02471,0.96114,0.89579,0.96128,0.84211,0.5425,0.36444,0.93447,0.00439,0.00439,0.00439
87,24059.7,0.59867,0.41804,1.02087,0.96589,0.89135,0.96074,0.84149,0.5428,0.36493,0.93545,0.004324,0.004324,0.004324
